"Name","DisplayName","Status","StartType"
"AarSvc_e5fa3","Agent Activation Runtime_e5fa3","Stopped","Manual"
"ADPSvc","Servizio piattaforma dati aggregati","Stopped","Manual"
"ALG","Servizio Gateway di livello applicazione","Stopped","Manual"
"AppIDSvc","Identità applicazione","Running","Manual"
"Appinfo","Informazioni applicazioni","Running","Manual"
"AppMgmt","Gestione applicazione","Stopped","Manual"
"AppReadiness","Preparazione app","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","Servizio di distribuzione AppX (AppXSVC)","Stopped","Automatic"
"ApxSvc","Servizio proxy dispositivo audio virtuale Windows","Stopped","Manual"
"ArmouryCrateService","Armoury Crate Service","Running","Automatic"
"AssignedAccessManagerSvc","Servizio AssignedAccessManager","Stopped","Manual"
"asus","Servizio ASUS Update (asus)","Stopped","Automatic"
"AsusAppService","ASUS App Service","Running","Automatic"
"asusm","Servizio ASUS Update (asusm)","Stopped","Manual"
"ASUSOptimization","ASUS Optimization","Running","Automatic"
"AsusPTPService","AsusPTPService","Running","Automatic"
"AsusROGLSLService","AsusROGLSLService Download ROGLSLoader","Stopped","Automatic"
"ASUSSoftwareManager","ASUS Software Manager","Running","Automatic"
"ASUSSwitch","ASUS Switch","Running","Automatic"
"ASUSSystemAnalysis","ASUS System Analysis","Running","Automatic"
"ASUSSystemDiagnosis","ASUS System Diagnosis","Running","Automatic"
"AudioEndpointBuilder","Generatore endpoint audio Windows","Running","Automatic"
"Audiosrv","Audio di Windows","Running","Automatic"
"autotimesvc","Ora cellulare","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_e5fa3","Servizio utente Broadcast e Game DVR_e5fa3","Stopped","Manual"
"BDESVC","Servizio di crittografia unità BitLocker","Running","Manual"
"BEService","BattlEye Service","Stopped","Manual"
"BFE","BFE (Base Filtering Engine)","Running","Automatic"
"BITS","Servizio trasferimento intelligente in background","Stopped","Manual"
"BluetoothUserService_e5fa3","Servizio di supporto utente Bluetooth_e5fa3","Stopped","Manual"
"BrokerInfrastructure","Servizio infrastruttura attività in background","Running","Automatic"
"BTAGService","Servizio gateway audio Bluetooth","Stopped","Manual"
"BthAvctpSvc","Servizio AVCTP","Stopped","Manual"
"bthserv","Servizio di supporto Bluetooth","Running","Manual"
"camsvc","Servizio di gestione dell'accesso alle funzionalità","Running","Automatic"
"CaptureService_e5fa3","CaptureService_e5fa3","Stopped","Manual"
"cbdhsvc_e5fa3","Servizio utente degli Appunti_e5fa3","Running","Automatic"
"CDPSvc","Servizio piattaforma dispositivi connessi","Running","Automatic"
"CDPUserSvc_e5fa3","Servizio utente piattaforma dispositivi connessi_e5fa3","Running","Automatic"
"CertPropSvc","Propagazione certificati","Stopped","Manual"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Automatic"
"ClipSVC","Servizio licenze client (ClipSVC)","Stopped","Manual"
"CloudBackupRestoreSvc_e5fa3","Servizio di backup e ripristino cloud_e5fa3","Stopped","Manual"
"cloudidsvc","Servizio di identità nel cloud Microsoft","Stopped","Manual"
"COMSysApp","Applicazione di sistema COM+","Stopped","Manual"
"ConsentUxUserSvc_e5fa3","Servizi utente ConsentUX_e5fa3","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_e5fa3","CredentialEnrollmentManagerUserSvc_e5fa3","Stopped","Manual"
"CryptSvc","Servizi di crittografia","Running","Automatic"
"CscService","File non linea","Stopped","Manual"
"DcomLaunch","Utilità di avvio processi server DCOM","Running","Automatic"
"dcsvc","Servizio Configurazione dichiarata (DC)","Stopped","Manual"
"defragsvc","Ottimizza unità","Stopped","Manual"
"DeviceAssociationBrokerSvc_e5fa3","DeviceAssociationBroker_e5fa3","Stopped","Manual"
"DeviceAssociationService","Servizio associazione dispositivi","Running","Automatic"
"DeviceInstall","Servizio installazione dispositivi","Stopped","Manual"
"DevicePickerUserSvc_e5fa3","DevicePicker_e5fa3","Stopped","Manual"
"DevicesFlowUserSvc_e5fa3","DevicesFlow_e5fa3","Running","Manual"
"DevQueryBroker","Gestore individuazione in background DevQuery","Stopped","Manual"
"Dhcp","Client DHCP","Running","Automatic"
"diagsvc","Diagnostic Execution Service","Stopped","Manual"
"DiagTrack","Esperienze utente connesse e telemetria","Running","Automatic"
"DialogBlockingService","DialogBlockingService","Stopped","Disabled"
"DiracAudSrv","Dirac Audio Service","Running","Automatic"
"DispBrokerDesktopSvc","Visualizza servizio criteri","Running","Automatic"
"DisplayEnhancementService","Servizio di miglioramento dello schermo","Running","Manual"
"DmEnrollmentSvc","Servizio di registrazione gestione dispositivi","Stopped","Manual"
"dmwappushservice","Servizio routing messaggi push WAP (Wireless Application Protocol) di gestione dispositivi","Stopped","Manual"
"Dnscache","Client DNS","Running","Automatic"
"DoSvc","Ottimizzazione recapito","Running","Automatic"
"dot3svc","Configurazione automatica reti cablate","Stopped","Manual"
"DPS","Servizio Criteri di diagnostica","Running","Automatic"
"dptftcs","Intel(R) Dynamic Tuning Technology Telemetry Service","Running","Automatic"
"DSAService","Intel(R) Driver & Support Assistant","Running","Automatic"
"DSAUpdateService","Intel(R) Driver & Support Assistant Updater","Running","Automatic"
"DsmSvc","Gestione configurazione dispositivi","Stopped","Manual"
"DsSvc","Servizio di condivisione dati","Running","Manual"
"DusmSvc","Consumo dati","Running","Automatic"
"EapHost","Extensible Authentication Protocol","Stopped","Manual"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual"
"EFS","EFS (Encrypting File System)","Stopped","Manual"
"embeddedmode","Modalità incorporata","Stopped","Manual"
"EntAppSvc","Servizio di gestione app aziendali","Stopped","Manual"
"EpicGamesUpdater","Epic Games Updater","Stopped","Manual"
"EpicOnlineServices","Epic Online Services","Stopped","Manual"
"ESRV_SVC_QUEENCREEK","Energy Server Service queencreek","Running","Automatic"
"EventLog","Registro eventi di Windows","Running","Automatic"
"EventSystem","COM+ Event System","Running","Automatic"
"fdPHost","Host provider di individuazione funzioni","Running","Manual"
"FDResPub","Pubblicazione risorse per individuazione","Running","Manual"
"fhsvc","Servizio Cronologia file","Stopped","Manual"
"FileSyncHelper","FileSyncHelper","Stopped","Manual"
"filezilla-server","filezilla-server","Running","Automatic"
"FontCache","Servizio cache tipi di carattere Windows","Running","Automatic"
"FoxitReaderUpdateService","Foxit PDF Reader Update Service","Running","Automatic"
"FrameServer","Server di fotogrammi fotocamera Windows","Running","Manual"
"FrameServerMonitor","Monitor del server dei fotogrammi di fotocamera Windows","Running","Manual"
"GameInputSvc","GameInput Service","Stopped","Manual"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual"
"GoogleUpdaterInternalService147.0.7703.0","Servizio interno di Google Updater (GoogleUpdaterInternalService147.0.7703.0)","Stopped","Automatic"
"GoogleUpdaterService147.0.7703.0","Servizio di Google Updater (GoogleUpdaterService147.0.7703.0)","Stopped","Automatic"
"gpsvc","Client di Criteri di gruppo","Running","Automatic"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual"
"hidserv","Servizio Human Interface Device","Running","Manual"
"hns","Servizio rete host","Running","Manual"
"hpatchmon","Hotpatch Monitoring Service","Stopped","Manual"
"HvHost","Servizio host hypervisor","Running","Manual"
"icssvc","Servizio hotspot di Windows Mobile","Stopped","Manual"
"igccservice","Intel(R) Graphics Command Center Service","Running","Automatic"
"IKEEXT","Moduli di impostazione chiavi IPSec IKE e Auth-IP","Running","Automatic"
"InstallService","Servizio di installazione di Microsoft Store","Running","Manual"
"Intel(R) SUR QC SAM","Intel(R) SUR QC Software Asset Manager","Stopped","Manual"
"IntelAudioService","Intel(R) Audio Service","Running","Automatic"
"IntelGraphicsSoftwareService","Intel® Graphics Software Service","Running","Automatic"
"InventorySvc","Servizio di valutazione di inventario e compatibilità","Running","Automatic"
"ipfsvc","Intel(R) Innovation Platform Framework Service","Running","Automatic"
"iphlpsvc","Helper IP","Running","Automatic"
"IpxlatCfgSvc","Servizio di configurazione conversione IP","Stopped","Manual"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running","Automatic"
"KeyIso","Isolamento chiavi CNG","Running","Manual"
"KtmRm","KtmRm per Distributed Transaction Coordinator","Stopped","Manual"
"LanmanServer","Server","Running","Automatic"
"LanmanWorkstation","Workstation","Running","Automatic"
"lfsvc","Servizio di georilevazione","Running","Manual"
"LicenseManager","Servizio Gestione licenze Windows","Running","Manual"
"lltdsvc","Mapper individuazione topologia livelli di collegamento","Stopped","Manual"
"lmhosts","Helper NetBIOS di TCP/IP","Running","Manual"
"LocalKdc","Centro distribuzione chiavi locali Kerberos","Stopped","Manual"
"LSM","Gestione sessioni locali","Running","Automatic"
"LxpSvc","Servizio lingua","Stopped","Manual"
"MapsBroker","Gestione mappe scaricate","Stopped","Automatic"
"McmSvc","Servizio di gestione della connettività mobile","Stopped","Manual"
"McpManagementService","McpManagementService","Stopped","Manual"
"MDCoreSvc","MDCoreSvc","Running","Automatic"
"MessagingService_e5fa3","MessagingService_e5fa3","Stopped","Manual"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual"
"midisrv","Servizio MIDI Windows","Running","Manual"
"mpssvc","Windows Defender Firewall","Running","Automatic"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual"
"MSiSCSI","Servizio iniziatore iSCSI Microsoft","Stopped","Manual"
"msiserver","Windows Installer","Stopped","Manual"
"MsKeyboardFilter","Filtro della tastiera Microsoft","Stopped","Disabled"
"NaturalAuthentication","Autenticazione naturale","Stopped","Manual"
"NcaSvc","Assistente connettività di rete","Stopped","Manual"
"NcbService","Gestore connessione rete","Running","Manual"
"NcdAutoSetup","Configurazione automatica dispositivi connessi alla rete","Running","Manual"
"Netlogon","Accesso rete","Stopped","Manual"
"Netman","Connessioni di rete","Stopped","Manual"
"netprofm","Servizio Elenco reti","Running","Manual"
"NetSetupSvc","Servizio di installazione della rete","Running","Manual"
"NetTcpPortSharing","Servizio di condivisione porte Net.Tcp","Stopped","Disabled"
"NgcCtnrSvc","Contenitore Microsoft Passport","Running","Manual"
"NgcSvc","Microsoft Passport","Running","Manual"
"NlaSvc","Riconoscimento presenza in rete","Stopped","Manual"
"NPSMSvc_e5fa3","Riproduzione del servizio Gestione sessioni in corso_e5fa3","Running","Manual"
"nsi","Servizio Interfaccia archivio di rete","Running","Automatic"
"nvagent","Servizio di virtualizzazione rete","Running","Manual"
"OneDrive Updater Service","OneDrive Updater Service","Stopped","Manual"
"OneSyncSvc_e5fa3","Sincronizza host_e5fa3","Running","Automatic"
"P9RdrService_e5fa3","P9RdrService_e5fa3","Stopped","Manual"
"PcaSvc","Servizio Risoluzione problemi compatibilità programmi","Running","Automatic"
"PeerDistSvc","BranchCache","Stopped","Manual"
"PenService_e5fa3","PenService_e5fa3","Stopped","Manual"
"perceptionsimulation","Servizio di simulazione di percezione di Windows","Stopped","Manual"
"PerfHost","Host DLL contatore prestazioni","Stopped","Manual"
"PhoneSvc","Servizio Telefono","Stopped","Manual"
"PimIndexMaintenanceSvc_e5fa3","Dati contatti_e5fa3","Running","Manual"
"pla","Avvisi e registri di prestazioni","Stopped","Manual"
"PlugPlay","Plug and Play","Running","Manual"
"PolicyAgent","Agente criteri IPsec","Stopped","Manual"
"Power","Alimentazione","Running","Automatic"
"PrintDeviceConfigurationService","Servizio di configurazione dei dispositivi di stampa","Stopped","Manual"
"PrintNotify","Estensioni e notifiche stampante","Stopped","Manual"
"PrintScanBrokerService","PrintScanBrokerService","Stopped","Manual"
"PrintWorkflowUserSvc_e5fa3","PrintWorkflow_e5fa3","Stopped","Manual"
"ProfSvc","Servizio profili utente","Running","Automatic"
"PushToInstall","Servizio PushToInstall di Windows","Stopped","Manual"
"QWAVE","Servizio audio/video Windows di qualità","Stopped","Manual"
"RasAuto","Auto Connection Manager di Accesso remoto","Stopped","Manual"
"RasMan","Connection Manager di Accesso remoto","Running","Manual"
"refsdedupsvc","Servizio Deedup ReFS","Stopped","Manual"
"RemoteAccess","Routing e Accesso remoto","Stopped","Disabled"
"RemoteRegistry","Registro di sistema remoto","Stopped","Disabled"
"RetailDemo","Servizio Demo negozio","Stopped","Manual"
"RmSvc","Servizio di gestione radio","Running","Manual"
"ROG Live Service","ROG Live Service","Running","Automatic"
"RpcEptMapper","Agente mapping endpoint RPC","Running","Automatic"
"RpcLocator","RPC Locator","Stopped","Manual"
"RpcSs","Chiamata di procedura remota (RPC)","Running","Automatic"
"RtkAudioUniversalService","Realtek Audio Universal Service","Running","Automatic"
"RtkBtManServ","Realtek Bluetooth Device Manager Service","Running","Automatic"
"SamSs","Sistema di gestione degli account di sicurezza (SAM)","Running","Automatic"
"SCardSvr","Smart Card","Stopped","Manual"
"ScDeviceEnum","Servizio di enumerazione dispositivo smart card","Stopped","Manual"
"Schedule","Utilità di pianificazione","Running","Automatic"
"SCPolicySvc","Criterio rimozione smart card","Stopped","Manual"
"SDRSVC","Windows Backup","Stopped","Manual"
"seclogon","Accesso secondario","Stopped","Manual"
"SecurityHealthService","Servizio Sicurezza di Windows","Running","Manual"
"SEMgrSvc","Gestione pagamenti e NFC/SE","Stopped","Manual"
"SENS","Servizio di notifica eventi di sistema","Running","Automatic"
"Sense","Sense","Stopped","Manual"
"SensorDataService","Servizio dati sensori","Stopped","Manual"
"SensorService","Servizio sensori","Running","Manual"
"SensrSvc","Servizio monitoraggio sensori","Stopped","Manual"
"SessionEnv","Configurazione Desktop remoto","Stopped","Manual"
"SharedAccess","Condivisione connessione Internet (ICS)","Running","Manual"
"ShellHWDetection","Rilevamento hardware shell","Running","Automatic"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled"
"smphost","SMP spazi di archiviazione Microsoft","Stopped","Manual"
"SmsRouter","Servizio router SMS di Microsoft Windows.","Stopped","Manual"
"SNMPTrap","Trap SNMP","Stopped","Manual"
"Spooler","Spooler di stampa","Running","Automatic"
"sppsvc","Protezione software","Stopped","Automatic"
"SSDPSRV","Individuazione SSDP","Running","Manual"
"ssh-agent","OpenSSH Authentication Agent","Stopped","Manual"
"SstpSvc","Servizio SSTP (Secure Socket Tunneling Protocol)","Running","Manual"
"StateRepository","Servizio repository stati","Running","Automatic"
"Steam Client Service","Steam Client Service","Stopped","Manual"
"StiSvc","Acquisizione di immagini di Windows (WIA)","Stopped","Automatic"
"StorSvc","Servizio di archiviazione","Running","Automatic"
"Surfshark Service","Surfshark Service","Running","Automatic"
"svsvc","Verifica spot","Stopped","Manual"
"swprv","Provider di copie shadow software Microsoft","Stopped","Manual"
"SysMain","SysMain","Running","Automatic"
"SystemEventsBroker","Gestore eventi di sistema","Running","Automatic"
"SystemUsageReportSvc_QUEENCREEK","Intel(R) System Usage Report Service SystemUsageReportSvc_QUEENCREEK","Running","Automatic"
"Tailscale","Tailscale","Running","Automatic"
"TapiSrv","Telefonia","Stopped","Manual"
"TermService","Servizi Desktop remoto","Stopped","Manual"
"TextInputManagementService","Servizio di gestione input di testo","Running","Automatic"
"Themes","Temi","Running","Automatic"
"TieringEngineService","Gestione livelli di archiviazione","Stopped","Manual"
"TimeBrokerSvc","Gestore tempo","Running","Manual"
"TokenBroker","Gestione account Web","Running","Manual"
"TrkWks","Manutenzione collegamenti distribuiti client","Running","Automatic"
"TroubleshootingSvc","Servizio di risoluzione dei problemi consigliato","Stopped","Manual"
"TrustedInstaller","Programma di installazione dei moduli di Windows","Stopped","Manual"
"tvnserver","TightVNC Server","Running","Automatic"
"tzautoupdate","Strumento di aggiornamento automatico fuso orario","Stopped","Disabled"
"UdkUserSvc_e5fa3","Servizio utente UDK_e5fa3","Running","Manual"
"UevAgentService","Servizio User Experience Virtualization","Stopped","Disabled"
"UmRdpService","Redirector porta UserMode di Servizi Desktop remoto","Stopped","Manual"
"UnistoreSvc_e5fa3","Archiviazione dati utente_e5fa3","Running","Manual"
"UpcElevationService","Ubisoft UPC Elevation Service","Stopped","Manual"
"upnphost","Host di dispositivi UPnP","Stopped","Manual"
"USER_ESRV_SVC_QUEENCREEK","User Energy Server Service queencreek","Stopped","Manual"
"UserDataSvc_e5fa3","Accesso dati utente_e5fa3","Running","Manual"
"UserManager","Gestione utenti","Running","Automatic"
"UsoSvc","Servizio di orchestrazione degli aggiornamenti","Running","Automatic"
"VaultSvc","Gestione credenziali","Running","Manual"
"VBoxSDS","VirtualBox system service","Stopped","Manual"
"vds","Disco virtuale","Stopped","Manual"
"VMAuthdService","VMware Authorization Service","Running","Automatic"
"vmcompute","Servizio di elaborazione host Hyper-V","Stopped","Manual"
"vmicguestinterface","Interfaccia servizio guest Hyper-V","Stopped","Manual"
"vmicheartbeat","Servizio Heartbeat Hyper-V","Stopped","Manual"
"vmickvpexchange","Servizio Scambio di dati Hyper-V","Stopped","Manual"
"vmicrdv","Servizio Virtualizzazione Desktop remoto Hyper-V","Stopped","Manual"
"vmicshutdown","Servizio Arresto guest Hyper-V","Stopped","Manual"
"vmictimesync","Servizio Sincronizzazione ora Hyper-V","Stopped","Manual"
"vmicvmsession","Servizio PowerShell Direct Hyper-V","Stopped","Manual"
"vmicvss","Richiedente Copia Shadow del volume Hyper-V","Stopped","Manual"
"VMnetDHCP","VMware DHCP Service","Running","Automatic"
"VMUSBArbService","VMware USB Arbitration Service","Running","Automatic"
"VMware NAT Service","VMware NAT Service","Running","Automatic"
"VmwareAutostartService","VMware Autostart Service","Stopped","Manual"
"VSS","Copia shadow del volume","Stopped","Manual"
"W32Time","Ora di Windows","Running","Manual"
"WaaSMedicSvc","WaaSMedicSvc","Stopped","Manual"
"WalletService","WalletService","Stopped","Manual"
"Wallpaper Engine Service","Wallpaper Engine Service","Running","Automatic"
"WarpJITSvc","Warp JIT Service","Stopped","Manual"
"wbengine","Servizio modulo di backup a livello di blocco","Stopped","Manual"
"WbioSrvc","Servizio di biometria Windows","Stopped","Manual"
"Wcmsvc","Gestione connessioni Windows","Running","Automatic"
"wcncsvc","Windows Connect Now - Registro configurazioni","Stopped","Manual"
"WdiServiceHost","Host servizio di diagnostica","Stopped","Manual"
"WdiSystemHost","Host sistema di diagnostica","Running","Manual"
"WdNisSvc","Servizio Controllo rete di Microsoft Defender Antivirus","Running","Manual"
"WebClient","WebClient","Running","Manual"
"webthreatdefsvc","Servizio Web Threat Defense","Running","Manual"
"webthreatdefusersvc_e5fa3","Servizio utente di Web Threat Defense_e5fa3","Running","Automatic"
"Wecsvc","Raccolta eventi Windows","Stopped","Manual"
"WEPHOSTSVC","Servizio host del provider di crittografia di Windows","Stopped","Manual"
"wercplsupport","Supporto del pannello di controllo Segnalazioni di problemi","Stopped","Manual"
"WerSvc","Servizio Segnalazione errori Windows","Stopped","Manual"
"WFDSConMgrSvc","Servizio gestione connessioni servizi Wi-Fi Direct","Stopped","Manual"
"whesvc","Integrità di Windows ed esperienze ottimizzate","Running","Automatic"
"WiaRpc","Eventi acquisizione Still Image","Stopped","Manual"
"WinDefend","Servizio Microsoft Defender Antivirus","Running","Automatic"
"WinHttpAutoProxySvc","Servizio rilevamento automatico proxy WinHTTP","Running","Manual"
"Winmgmt","Strumentazione gestione Windows","Running","Automatic"
"WinRM","Gestione remota Windows (WS-Management)","Stopped","Manual"
"wisvc","Servizio Windows Insider","Stopped","Manual"
"WlanSvc","Configurazione automatica WLAN","Running","Automatic"
"wlidsvc","Assistente per l'accesso all'account Microsoft","Stopped","Manual"
"wlpasvc","Servizio Assistente profilo locale","Stopped","Manual"
"WManSvc","Servizio gestione Windows","Stopped","Manual"
"wmiApSrv","Scheda WMI Performance","Stopped","Manual"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Running","Automatic"
"WMPNetworkSvc","Servizio di condivisione in rete Windows Media Player","Stopped","Manual"
"workfolderssvc","Cartelle di lavoro","Stopped","Manual"
"WpcMonSvc","Controllo genitori","Stopped","Manual"
"WPDBusEnum","Servizio enumeratore dispositivi mobili","Stopped","Manual"
"WpnService","Servizio di sistema notifiche Push Windows","Running","Automatic"
"WpnUserService_e5fa3","Servizio utente notifica Push Windows_e5fa3","Running","Automatic"
"WSAIFabricSvc","WSAIFabricSvc","Running","Automatic"
"wscsvc","Centro sicurezza PC","Running","Automatic"
"WSearch","Windows Search","Running","Automatic"
"WSLService","WSL Service","Running","Automatic"
"wuauserv","Windows Update","Stopped","Manual"
"wuqisvc","Informazioni dettagliate sull'utilizzo e sulla qualità di Microsoft","Stopped","Manual"
"WwanSvc","Configurazione automatica WWAN","Stopped","Manual"
"XblAuthManager","Gestione autenticazione Xbox Live","Stopped","Manual"
"XblGameSave","Giochi salvati su Xbox Live","Stopped","Manual"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Manual"
"XboxNetApiSvc","Servizio di rete Xbox Live","Stopped","Manual"
"ZTHELPER","Servizio helper ZTDNS","Stopped","Manual"
"ArmouryCrateService","Armoury Crate Service","Running","Automatic"
"AsusAppService","ASUS App Service","Running","Automatic"
"ASUSOptimization","ASUS Optimization","Running","Automatic"
"AsusPTPService","AsusPTPService","Running","Automatic"
"ASUSSoftwareManager","ASUS Software Manager","Running","Automatic"
"ASUSSwitch","ASUS Switch","Running","Automatic"
"ASUSSystemAnalysis","ASUS System Analysis","Running","Automatic"
"ASUSSystemDiagnosis","ASUS System Diagnosis","Running","Automatic"
"AudioEndpointBuilder","Generatore endpoint audio Windows","Running","Automatic"
"Audiosrv","Audio di Windows","Running","Automatic"
"BFE","BFE (Base Filtering Engine)","Running","Automatic"
"BrokerInfrastructure","Servizio infrastruttura attività in background","Running","Automatic"
"camsvc","Servizio di gestione dell'accesso alle funzionalità","Running","Automatic"
"cbdhsvc_e5fa3","Servizio utente degli Appunti_e5fa3","Running","Automatic"
"CDPSvc","Servizio piattaforma dispositivi connessi","Running","Automatic"
"CDPUserSvc_e5fa3","Servizio utente piattaforma dispositivi connessi_e5fa3","Running","Automatic"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Automatic"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Automatic"
"CryptSvc","Servizi di crittografia","Running","Automatic"
"DcomLaunch","Utilità di avvio processi server DCOM","Running","Automatic"
"DeviceAssociationService","Servizio associazione dispositivi","Running","Automatic"
"Dhcp","Client DHCP","Running","Automatic"
"DiagTrack","Esperienze utente connesse e telemetria","Running","Automatic"
"DiracAudSrv","Dirac Audio Service","Running","Automatic"
"DispBrokerDesktopSvc","Visualizza servizio criteri","Running","Automatic"
"Dnscache","Client DNS","Running","Automatic"
"DoSvc","Ottimizzazione recapito","Running","Automatic"
"DPS","Servizio Criteri di diagnostica","Running","Automatic"
"dptftcs","Intel(R) Dynamic Tuning Technology Telemetry Service","Running","Automatic"
"DSAService","Intel(R) Driver & Support Assistant","Running","Automatic"
"DSAUpdateService","Intel(R) Driver & Support Assistant Updater","Running","Automatic"
"DusmSvc","Consumo dati","Running","Automatic"
"ESRV_SVC_QUEENCREEK","Energy Server Service queencreek","Running","Automatic"
"EventLog","Registro eventi di Windows","Running","Automatic"
"EventSystem","COM+ Event System","Running","Automatic"
"filezilla-server","filezilla-server","Running","Automatic"
"FontCache","Servizio cache tipi di carattere Windows","Running","Automatic"
"FoxitReaderUpdateService","Foxit PDF Reader Update Service","Running","Automatic"
"gpsvc","Client di Criteri di gruppo","Running","Automatic"
"igccservice","Intel(R) Graphics Command Center Service","Running","Automatic"
"IKEEXT","Moduli di impostazione chiavi IPSec IKE e Auth-IP","Running","Automatic"
"IntelAudioService","Intel(R) Audio Service","Running","Automatic"
"IntelGraphicsSoftwareService","Intel® Graphics Software Service","Running","Automatic"
"InventorySvc","Servizio di valutazione di inventario e compatibilità","Running","Automatic"
"ipfsvc","Intel(R) Innovation Platform Framework Service","Running","Automatic"
"iphlpsvc","Helper IP","Running","Automatic"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running","Automatic"
"LanmanServer","Server","Running","Automatic"
"LanmanWorkstation","Workstation","Running","Automatic"
"LSM","Gestione sessioni locali","Running","Automatic"
"MDCoreSvc","MDCoreSvc","Running","Automatic"
"mpssvc","Windows Defender Firewall","Running","Automatic"
"nsi","Servizio Interfaccia archivio di rete","Running","Automatic"
"OneSyncSvc_e5fa3","Sincronizza host_e5fa3","Running","Automatic"
"PcaSvc","Servizio Risoluzione problemi compatibilità programmi","Running","Automatic"
"Power","Alimentazione","Running","Automatic"
"ProfSvc","Servizio profili utente","Running","Automatic"
"ROG Live Service","ROG Live Service","Running","Automatic"
"RpcEptMapper","Agente mapping endpoint RPC","Running","Automatic"
"RpcSs","Chiamata di procedura remota (RPC)","Running","Automatic"
"RtkAudioUniversalService","Realtek Audio Universal Service","Running","Automatic"
"RtkBtManServ","Realtek Bluetooth Device Manager Service","Running","Automatic"
"SamSs","Sistema di gestione degli account di sicurezza (SAM)","Running","Automatic"
"Schedule","Utilità di pianificazione","Running","Automatic"
"SENS","Servizio di notifica eventi di sistema","Running","Automatic"
"ShellHWDetection","Rilevamento hardware shell","Running","Automatic"
"Spooler","Spooler di stampa","Running","Automatic"
"StateRepository","Servizio repository stati","Running","Automatic"
"StorSvc","Servizio di archiviazione","Running","Automatic"
"Surfshark Service","Surfshark Service","Running","Automatic"
"SysMain","SysMain","Running","Automatic"
"SystemEventsBroker","Gestore eventi di sistema","Running","Automatic"
"SystemUsageReportSvc_QUEENCREEK","Intel(R) System Usage Report Service SystemUsageReportSvc_QUEENCREEK","Running","Automatic"
"Tailscale","Tailscale","Running","Automatic"
"TextInputManagementService","Servizio di gestione input di testo","Running","Automatic"
"Themes","Temi","Running","Automatic"
"TrkWks","Manutenzione collegamenti distribuiti client","Running","Automatic"
"tvnserver","TightVNC Server","Running","Automatic"
"UserManager","Gestione utenti","Running","Automatic"
"UsoSvc","Servizio di orchestrazione degli aggiornamenti","Running","Automatic"
"VMAuthdService","VMware Authorization Service","Running","Automatic"
"VMnetDHCP","VMware DHCP Service","Running","Automatic"
"VMUSBArbService","VMware USB Arbitration Service","Running","Automatic"
"VMware NAT Service","VMware NAT Service","Running","Automatic"
"Wallpaper Engine Service","Wallpaper Engine Service","Running","Automatic"
"Wcmsvc","Gestione connessioni Windows","Running","Automatic"
"webthreatdefusersvc_e5fa3","Servizio utente di Web Threat Defense_e5fa3","Running","Automatic"
"whesvc","Integrità di Windows ed esperienze ottimizzate","Running","Automatic"
"WinDefend","Servizio Microsoft Defender Antivirus","Running","Automatic"
"Winmgmt","Strumentazione gestione Windows","Running","Automatic"
"WlanSvc","Configurazione automatica WLAN","Running","Automatic"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Running","Automatic"
"WpnService","Servizio di sistema notifiche Push Windows","Running","Automatic"
"WpnUserService_e5fa3","Servizio utente notifica Push Windows_e5fa3","Running","Automatic"
"WSAIFabricSvc","WSAIFabricSvc","Running","Automatic"
"wscsvc","Centro sicurezza PC","Running","Automatic"
"WSearch","Windows Search","Running","Automatic"
"WSLService","WSL Service","Running","Automatic"
